PERIODO,CO2 BEV,VEHICULOS BEV,CO2 BEV mitjana,CO2 Combustión,VEHICULOS Combustión,CO2 Combustión mitjana,CO2 GLP,VEHICULOS GLP,CO2 GLP mitjana,CO2 GNC,VEHICULOS GNC,CO2 GNC mitjana,CO2 HEV,VEHICULOS HEV,CO2 HEV mitjana,CO2 PHEV,VEHICULOS PHEV,CO2 PHEV mitjana,CO2 REEV,VEHICULOS REEV,CO2 REEV mitjana,CO2 GNL,VEHICULOS GNL,CO2 GNL mitjana,CO2 Hidrógeno,VEHICULOS Hidrógeno,CO2 Hidrógeno mitjana
2021-07,1682.0,1943,0.8656716417910447,10214533.906873414,72491,140.9076148331988,205996.52504068043,1754,117.44385692171062,19303.244341545553,96,201.0754618910995,2698420.3332979768,20889,129.1790096844261,155923.0,4119,37.85457635348386,562.0454545454545,18,31.224747474747474,575.0,3.0,191.66666666666666,0.0,0.0,0.0
2021-08,375.0,1453,0.258086717136958,5890771.396588915,41062,143.46041100260373,196591.68087053418,1690,116.32643838493146,22349.89083333333,129,173.2549677002584,1807140.2813716463,14025,128.8513569605452,102574.0,2767,37.07047343693531,549.8,14,39.271428571428565,458.0,2.0,229.0,0.0,0.0,0.0
2021-09,361.0,3078,0.11728395061728394,7326535.2457146235,51448,142.4066095030832,160243.22412594224,1349,118.78667466711805,21583.453095684803,151,142.93677546811128,2139863.1030109483,16551,129.28905220294533,150710.0,4037,37.332177359425316,287.0,9,31.88888888888889,635.0,5.0,127.0,0.0,0.0,0.0
2021-10,608.0,2655,0.22900188323917137,7357545.916561865,51490,142.89271541196086,106536.0,913,116.68784227820372,11611.849579678363,83,139.90180216479956,2288377.9489191105,17729,129.07541028366578,154708.9150913537,4282,36.13005957294575,677.0,16,42.3125,397.0,2.0,198.5,178.0,1.0,178.0
2021-11,1103.0,3158,0.3492716909436352,8162136.21518979,57417,142.15539326662469,139550.19052769832,1187,117.5654511606557,17261.178039611223,135,127.86057807119424,2464489.982338951,19090,129.09847995489528,163977.1839234147,4462,36.74970504782938,307.0,9,34.111111111111114,292.0,2.0,146.0,0.0,0.0,0.0
2021-12,150.0,4045,0.037082818294190356,9741597.120551849,69209,140.75621841887397,216681.1914238695,1854,116.8722715339102,12569.599450386215,95,132.31157316196015,3295795.299420311,25489,129.30265210170313,183262.0,4888,37.492225859247135,1298.7777777777778,15,86.58518518518518,0.0,0.0,0.0,0.0,0.0,0.0
2022-01,1185.0,2009,0.5898456943753111,5017786.570406586,35267,142.27993791381707,111672.46287703373,969,115.24505972862097,5880.961074561404,49,120.01961376655926,1693663.7757818047,13579,124.72669384945907,120732.0,3268,36.9436964504284,479.6111111111111,12,39.96759259259259,0.0,0.0,0.0,0.0,0.0,0.0
2022-02,512.0,2817,0.1817536386226482,7321640.499008933,52088,140.56290314484974,116079.85543916168,974,119.1784963441085,13883.32767987568,131,105.97960060973801,2211565.961712127,17552,126.00079544850314,140816.0,3975,35.425408805031445,344.0,12,28.666666666666668,673.0,5.0,134.6,0.0,0.0,0.0
2022-03,1760.0,3378,0.5210183540556542,7398619.968306571,52392,141.2165973489573,116895.0,981,119.15902140672783,7486.890579710145,67,111.74463551806187,2167522.370682353,16975,127.68909400190593,125373.07351513085,3428,36.57324198224354,227.86111111111111,15,15.190740740740742,396.0,2.0,198.0,0.0,0.0,0.0
2022-04,757.0,2158,0.35078776645041704,8156642.775618882,57725,141.30173712635568,157555.38721250504,1338,117.75440000934607,8042.642474916388,73,110.17318458789572,2439375.267037113,19194,127.09051094285262,153960.40791674587,4278,35.98887515585457,317.0,10,31.7,128.0,1.0,128.0,0.0,0.0,0.0
2022-05,395.0,2365,0.16701902748414377,9664692.79691568,69279,139.50393043946477,132615.31598375228,1145,115.82123666703257,6139.91,55,111.63472727272728,3190048.4230503556,25358,125.80047413243771,171020.06379141362,4899,34.90917815705524,535.578947368421,21,25.50375939849624,0.0,0.0,0.0,0.0,0.0,0.0
2022-06,343.0,3452,0.09936268829663963,9887334.015471928,71033,139.19352998566762,256735.0,2194,117.01686417502279,2896.1833333333334,28,103.43511904761905,3205394.1035721973,25536,125.52451846695635,157006.0,4357,36.03534542116135,878.0,14,62.714285714285715,344.0,1.0,344.0,0.0,0.0,0.0
2022-07,326.0,2441,0.13355182302335109,8828090.545826975,63256,139.56131506619096,146650.97234312244,1244,117.88663371633636,2122.0,19,111.6842105263158,2568127.0,20597,124.6845171626936,128696.0,3717,34.62362119989238,981.640625,17,57.74356617647059,209.0,2.0,104.5,0.0,0.0,0.0
2022-08,748.0,1749,0.4276729559748428,6525002.219268919,46353,140.76763573595926,111255.18781057154,940,118.35658277720377,3029.125,28,108.18303571428571,2004943.6522896776,16032,125.05886054701084,94197.29773889808,2836,33.2148440546185,640.0,10,64.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09,1283.0,3694,0.34731997834325934,7544718.84464658,53661,140.59966911996756,151299.00494672134,1294,116.92349686763627,3115.1875,30,103.83958333333334,2682258.223736769,21361,125.56800822699167,144497.22228830552,4262,33.90361855661791,1254.3428571428572,21,59.73061224489796,190.0,1.0,190.0,0.0,0.0,0.0
2022-10,169.0,3097,0.054568937681627384,7624879.907259649,53832,141.6421442127294,118577.25347913208,1016,116.70989515662606,2142.9615384615386,19,112.78744939271256,2662850.3512752643,20934,127.20217594703661,140304.21829533463,4085,34.34619786911497,700.0,15,46.666666666666664,222.0,1.0,222.0,0.0,2.0,0.0
2022-11,304.0,3823,0.07951870258958933,7862253.828740211,55423,141.859044597734,124322.7587887653,1074,115.75675864875727,4259.964912280702,32,133.12390350877195,3146481.8268963313,25235,124.68721327110487,159209.80541415943,4917,32.37946012083779,531.75,12,44.3125,399.0,3.0,133.0,308.0,2.0,154.0
2022-12,198.0,4078,0.04855321235899951,8169023.903361269,57931,141.01299655385318,216737.27389601973,1863,116.33777450135251,2475.5,22,112.52272727272727,2899273.948601684,22811,127.0998180089292,159148.8485414424,4750,33.50502074556682,455.5,9,50.611111111111114,0.0,0.0,0.0,0.0,0.0,0.0
